identifier,articles,files,templates,categories
zawikibooks,8,0,13,0
zawikiquote,3,0,11,0
arywiki,22518,73,9330,9459
xhwiki,1730,0,376,353
xhwiktionary,3,0,26,1
xhwikibooks,4,0,11,1
ltwiki,299370,24239,17630,28776
ltwiktionary,633010,19,15490,38196
ltwikibooks,932,210,148,127
ltwikiquote,4113,2,116,1102
ltwikisource,2178,1,98,154
dewiki,4499659,130640,87599,489191
dewiktionary,1070261,104,6855,9691
dewikibooks,37593,7715,1000,659
dewikinews,14237,65,1014,17435
dewikiquote,8927,20,250,1674
dewikisource,237102,6956,1389,6891
dewikiversity,46628,3037,3118,18939
dewikivoyage,30674,723,3731,6297
glkwiki,9124,809,939,735
gnwiki,7568,0,818,1457
gnwiktionary,2135,1,46,56
gnwikibooks,1,0,9,1
krwiki,1,0,9,2
krwikiquote,1,0,8,0
piwiki,3232,1,189,146
piwiktionary,3,0,9,1
vepwiki,11573,0,8953,7246
awawiki,3783,0,1311,71
fiwiki,846432,72172,29308,85107
fiwiktionary,436458,16,4941,27366
fiwikibooks,8568,346,701,746
fiwikinews,1651,1,349,1433
fiwikiquote,3744,2,589,579
fiwikisource,14135,53,383,2069
fiwikiversity,2008,65,128,114
fiwikivoyage,2360,127,215,280
iewiki,11964,0,879,944
iewiktionary,2337,0,324,71
iewikibooks,70,0,64,21
yiwiki,28741,1063,3103,2721
yiwiktionary,1179,21,284,362
yiwikisource,3232,1056,185,243
dzwiki,1131,0,120,214
dzwiktionary,1,0,88,1
etwiki,393788,768,7068,32562
etwiktionary,152612,2,5614,3319
etwikibooks,669,129,79,50
etwikiquote,13344,3,109,1401
etwikisource,3022,48,129,237
kcgwiki,1143,0,651,772
lgwiki,3355,0,273,200
newwiki,101560,1,11137,33023
olowiki,5296,1,4293,1256
tswiki,879,1,633,450
tswiktionary,409,0,136,15
cbk_zamwiki,4787,3,1290,560
anwiki,74586,1522,4678,26666
anwiktionary,4246,2,526,519
bmwiki,1455,2,233,244
bmwiktionary,4,0,13,1
bmwikibooks,6,0,9,1
bmwikiquote,2,0,9,1
ckbwiki,93302,1758,21505,34360
frwiki,4160118,69457,231963,559986
frwiktionary,4544012,8,59410,163173
frwikibooks,28371,169,2944,2630
frwikinews,25699,2,3906,12488
frwikiquote,8410,0,6642,5081
frwikisource,409332,4603,3919,8833
frwikiversity,19854,84,3307,4943
frwikivoyage,10498,79,1872,2174
iuwiki,1503,0,71,218
iuwiktionary,323,0,214,49
zh_classicalwiki,18740,0,6564,3146
alswiki,35544,582,8719,5864
klwiki,346,0,283,255
klwiktionary,1870,2,278,151
srwiki,3353189,37509,123624,70282
srwiktionary,226669,2,5425,16824
srwikibooks,563,156,175,274
srwikinews,56811,1,1588,14783
srwikiquote,2996,1,203,558
srwikisource,40752,363,423,1447
tpiwiki,1646,1,2190,396
tpiwiktionary,1266,0,645,74
idwiki,1221199,47864,82709,169635
idwiktionary,203609,3,2639,22875
idwikibooks,6932,893,833,460
idwikiquote,2683,5,163,296
idwikisource,4253,307,1003,947
cywiki,329354,11415,11534,62570
cywiktionary,24887,7,648,781
cywikibooks,47,0,100,18
cywikiquote,473,0,73,209
cywikisource,3988,9,112,1097
hzwiki,1,0,16,12
nawiki,2156,4,451,660
nawiktionary,630,0,325,107
nawikibooks,4,0,16,3
nawikiquote,0,0,9,1
adywiki,814,0,2095,41
dvwiki,5157,943,2317,233
dvwiktionary,519,2,171,60
kowiki,1359170,12884,61474,334252
kowiktionary,407629,17,910,8987
kowikibooks,2465,23,682,633
kowikinews,831,1,482,1554
kowikiquote,1681,10,442,810
kowikisource,35208,616,1058,3372
kowikiversity,735,22,440,144
mtwiki,7175,739,2751,4626
mtwiktionary,2202,2,532,382
orwiki,33536,401,13561,4767
orwiktionary,109424,1,357,122
orwikisource,1197,1,798,85
pagwiki,6990,0,396,284
pflwiki,4038,1,923,541
shwiki,4021678,10248,31746,57812
shwiktionary,915120,4,459,214
crwiki,349,1,248,208
crwiktionary,0,0,9,0
crwikiquote,0,0,9,1
wawiki,21486,627,787,1711
wawiktionary,33620,127,2352,3842
wawikibooks,4,0,11,0
wawikisource,1587,0,158,572
ruwiki,4527528,240874,192483,552033
ruwiktionary,2215993,198,37909,308237
ruwikibooks,10441,1822,1708,1406
ruwikinews,3702379,20,18705,1925047
ruwikiquote,28171,0,986,5434
ruwikisource,726201,55758,4158,37530
ruwikiversity,6195,656,2373,1550
ruwikivoyage,7395,14144,646,453
scnwiki,41473,1414,1712,1722
scnwiktionary,21919,22,845,626
shnwiki,15087,62,5595,6401
shnwiktionary,32249,0,941,305
shnwikivoyage,182,0,1168,125
svwiki,4459649,0,54472,371912
svwiktionary,868318,1,978,17615
svwikibooks,2512,212,409,637
svwikinews,3677,1,928,2641
svwikiquote,1983,1,110,387
svwikisource,17528,18,440,1733
svwikiversity,1000,15,412,208
svwikivoyage,2162,177,621,613
ganwiki,9496,57,690,7890
lldwiki,73329,4,1776,581
mnwwiki,3464,1,1525,214
mnwwiktionary,33766,0,1922,6452
ruewiki,11070,89,1515,3134
stqwiki,6727,429,1136,882
swwiki,101743,2305,6259,15624
swwiktionary,14592,0,1206,86
swwikibooks,13,0,11,1
kswiki,3124,10,2396,367
kswiktionary,4203,0,476,676
kswikibooks,1,0,12,0
kswikiquote,1,0,12,0
avkwiki,26247,0,1882,2293
igwiki,16600,1,743,593
igwiktionary,3826,0,5,15
igwikiquote,3021,0,13,31
simplewiki,312744,37,34960,61667
simplewiktionary,37459,2,904,676
simplewikibooks,594,5,405,111
simplewikiquote,1586,5,518,462
skwiki,321675,14,12500,86473
skwiktionary,31256,2,321,894
skwikibooks,774,6,68,125
skwikiquote,5159,2,240,372
skwikisource,417,1,59,254
arwiki,2221182,53002,125738,941589
arwiktionary,74186,5,9614,3627
arwikibooks,1210,5,794,456
arwikinews,9942,66,1109,22567
arwikiquote,4373,2,6851,4218
arwikisource,116356,4085,1834,14759
arwikiversity,1132,1,5404,866
suwiki,69718,551,8868,8388
suwiktionary,3430,1,224,82
suwikibooks,10,0,19,14
suwikiquote,2005,9,116,57
kbdwiki,1946,1,2527,1291
knwiki,39014,2648,19526,3661
knwiktionary,265906,0,1134,93
knwikibooks,3,7,15,1
knwikiquote,497,0,65,29
knwikisource,21493,6,1344,194
avwiki,4777,1,7200,997
avwiktionary,4,0,12,1
chrwiki,1889,0,247,345
chrwiktionary,443,1,199,69
elwiki,313622,18722,21431,71137
elwiktionary,819023,23,4613,27972
elwikibooks,860,1166,320,260
elwikinews,3386,1,331,4850
elwikiquote,2491,2,111,203
elwikisource,17189,4,567,527
elwikiversity,1018,93,435,344
elwikivoyage,1683,1,268,159
minwiki,231749,189,5346,2434
minwiktionary,11071,0,235,112
newiki,39130,1293,20503,5208
newiktionary,14914,25,518,121
newikibooks,234,5,422,38
papwiki,3592,0,581,548
satwiki,8814,1,4633,694
pmswiki,69647,2070,3709,5832
pmswikisource,4386,1,33,439
rnwiki,903,1,260,233
rnwiktionary,2,0,9,1
slwiki,259941,8981,25508,65893
slwiktionary,29641,0,1213,1546
slwikibooks,361,530,213,92
slwikiquote,3892,0,386,2150
slwikisource,21353,355,454,3537
slwikiversity,1642,101,194,147
cvwiki,57032,541,18187,19544
cvwikibooks,211,5,34,12
hawiki,23336,5,1040,1594
hawiktionary,4079,0,113,85
pntwiki,609,0,162,262
sswiki,768,0,285,231
sswiktionary,647,0,132,106
vecwiki,81632,731,41649,6885
vecwiktionary,4958,1,759,517
vecwikisource,3929,1,164,426
afwiki,135497,9670,52378,15926
afwiktionary,22678,966,3233,792
afwikibooks,173,0,42,19
afwikiquote,267,0,47,102
mkwiki,183889,8826,35300,78673
mkwiktionary,5094,1,436,287
mkwikibooks,966,23,163,60
mkwikisource,3268,4,387,323
kywiki,93951,2700,6309,4316
kywiktionary,73399,0,1327,703
kywikibooks,65,5,14,1
kywikiquote,35,0,16,1
taywiki,2674,0,59,38
huwiki,744076,8885,92368,70186
huwiktionary,438553,0,11881,6342
huwikibooks,58481,21255,4428,1191
huwikinews,771,0,722,1549
huwikiquote,1788,89,306,613
huwikisource,21614,34,592,1019
dagwiki,7205,1,596,255
extwiki,4853,1,483,697
nywiki,1220,34,1322,445
barwiki,43790,1361,7497,8314
dsbwiki,4041,1,2372,2668
